British Columbia,Provincial,2013-05-14
Newfoundland and Labrador,Municipalities,2013-09-24
Alberta,Municipalities,2013-10-21
Quebec,Municipalities,2013-11-03
Northwest Territories,Hamlets,2013-12-09
Nunavut,Hamlets,2013-12-09
Manitoba,"Resort villages (Dunnottar, Victoria Beach and Winnipeg Beach)",2014-07-25
Manitoba,Municipalities,2014-10-22
Saskatchewan,Rural municipalities,2014-10-22
Ontario,Municipalities,2014-10-27
Prince Edward Island,"Municipalities (Charlottetown, Cornwall,Stratford and Summerside)",2014-11-03
British Columbia,Municipalities,2014-11-15
Northwest Territories,Hamlets,2014-12-08
Nunavut,Hamlets,2014-12-08
Ontario,Provincial,2015-10-01
Prince Edward Island,Provincial,2015-10-05
Northwest Territories,Territorial,2015-10-05
Manitoba,Provincial,2015-10-06
Yukon,Municipalities,2015-10-15
Canada,Federal,2015-10-19
Northwest Territories,"Cities, towns and villages",2015-10-19
Nunavut,"Cities, towns and villages",2015-10-19
Saskatchewan,Provincial,2015-11-02
Prince Edward Island,"Municipalities (except Charlottetown, Cornwall, Stratford and Summerside)",2015-11-02
Northwest Territories,Hamlets,2015-12-14
Nunavut,Hamlets,2015-12-14
Alberta,municipal,2013-10-21
British Columbia,municipal,2014-11-15
Manitoba,municipal,2014-10-22
New Brunswick,municipal,2016-05-09
Newfoundland and Labrador,municipal,2013-09-30
Northwest Territories,municipal,2015-10-16
Northwest Territories,Hamlets:,2013-12-09
Northwest Territories,Tlicho community governments:,2013-06-10
Nova Scotia,municipal,2016-10-15
Nunavut,municipal,2015-10-19
Nunavut,For hamlets:,2013-12-09
Ontario,municipal,2014-10-27
Prince Edward Island,municipal,2014-11-03
Québec,municipal,2013-11-03
Saskatchewan,Rural Municipalities:,2014-10-22
Saskatchewan,Cities and (southern) Towns and Villages:,2012-10-24
Yukon,municipal,2015-10-15
